Id,Label
1,1 - Teatro Politécnico
2,2 - Instituto de Ciencias Biológicas / Museo Gustavo Orcés V.
3,3 - Administración Central
4,4 - Casa Patrimonial EPN
5,5 - Centro de Investigación de la Vivienda
6,6 - Facultad de Ingeniería Civil y Ambiental / Instituto Geofísico
7,7 - Departamento de Ciencias Nucleares
8,8 - Centro de Investigaciones Aplicadas a Polímeros
9,9 - Laboratorio de Aguas y Microbiología
10,10 - Ingeniería Hidráulica
11,11 - Centro de Investigaciones y Control Ambiental
12,12 - Facultad de Ciencias
13,13 - Facultad de Ingeniería en Geología y Petróleos
14,14 - Departamento de Formación Básica
15,15 - Facultad de Ingeniería Mecánica
16,16 - Facultad de Ingeniería Eléctrica y Electrónica
17,17 - Edificio de Química - Eléctrica
18,18 - Edificio de Química - Eléctrica (bloque 2)
19,19 - Departamento de Ciencias de Alimentos y Biotecnología
20,20 - Facultad de Ingeniería de Sistemas / Bienestar / Comedor / FEPON
21,21 - Escuela de Formación de Tecnólogos
22,22 - Departamento de Metalurgia Extractiva
23,23 - Plaza EARME
24,24 - Procesos de Producción Mecánica
25,25 - Laboratorio Institucional de Análisis de Vehículos y Movilidad Sostenible
26,26 - Facultad de Ciencias Administrativas / Relación con el Medio Externo
27,27 - Centro de Investigaciones y Estudios en Recursos Hídricos
28,28 - Sede Ladrón de Guevara
29,29 - Servicios Generales y Talleres
30,30 - Estadio Politécnico
31,31 - Canchas Deportivas
32,32 - Cancha de Mecánica
33,33 - Ágora de Tecnólogos
34,34 - Centro de Acopio de Residuos Sólidos
35,35 - Coro
36,36 - Centro de Educación Continua (CEC)
39,39 - Ex Junior College / Comisión de Evaluación Interna (CEI)
40,40 - Gimnasio
41,41 - Aulas del Centro de Cultura Física (camerino norte)
42,Entrada Civil
43,Entrada Principal
44,Entrada Catolica
45,Entrada Sistemas
46,Entrada Salesiana
47,Entrada CEC
